"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","TRAP","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","HVT_perc","Rank","HVT_per_game","Touches_per_game"
"RB","Tyler Allgeier","00-0037263","ATL",204,28,0.862745098039216,137.6,142.01,17,"2023",8.09411764705882,8.35352941176471,0.137254901960784,"RB3",1.64705882352941,12
"RB","Aaron Jones","00-0033293","GB",172,40,0.767441860465116,134.9,154.17,11,"2023",12.2636363636364,14.0154545454545,0.232558139534884,"Other",3.63636363636364,15.6363636363636
"RB","Alexander Mattison","00-0034972","MIN",210,42,0.8,133.2,182.52,16,"2023",8.325,11.4075,0.2,"Other",2.625,13.125
"RB","Antonio Gibson","00-0036328","WAS",113,49,0.566371681415929,127.4,121.53,16,"2023",7.9625,7.595625,0.433628318584071,"Other",3.0625,7.0625
"RB","Samaje Perine","00-0033526","DEN",103,57,0.446601941747573,121.3,110.47,17,"2023",7.13529411764706,6.49823529411765,0.553398058252427,"Other",3.35294117647059,6.05882352941176
"RB","Kareem Hunt","00-0033923","CLE",150,30,0.8,118.5,120.44,15,"2023",7.9,8.02933333333333,0.2,"Other",2,10
"RB","AJ Dillon","00-0036265","GB",200,40,0.8,117.6,146.34,15,"2023",7.84,9.756,0.2,"Other",2.66666666666667,13.3333333333333
"RB","Khalil Herbert","00-0036906","CHI",152,25,0.835526315789474,112.5,122.82,12,"2023",9.375,10.235,0.164473684210526,"Other",2.08333333333333,12.6666666666667
"RB","Justice Hill","00-0034975","BAL",112,39,0.651785714285714,109.3,115.88,16,"2023",6.83125,7.2425,0.348214285714286,"Other",2.4375,7
"RB","Zach Charbonnet","00-0039165","SEA",141,46,0.673758865248227,106.1,122.54,16,"2023",6.63125,7.65875,0.326241134751773,"Other",2.875,8.8125
"RB","Jaleel McLaughlin","00-0038794","DEN",107,35,0.672897196261682,106,94.96,17,"2023",6.23529411764706,5.58588235294118,0.327102803738318,"Other",2.05882352941176,6.29411764705882
"RB","Roschon Johnson","00-0039021","CHI",115,41,0.643478260869565,102.1,107.97,15,"2023",6.80666666666667,7.198,0.356521739130435,"Other",2.73333333333333,7.66666666666667
"RB","Ty Chandler","00-0037276","MIN",123,26,0.788617886178862,101,94.42,13,"2023",7.76923076923077,7.26307692307692,0.211382113821138,"Other",2,9.46153846153846
"RB","Kenneth Gainwell","00-0036919","PHI",114,40,0.649122807017544,97.38,112.45,16,"2023",6.08625,7.028125,0.350877192982456,"Other",2.5,7.125
"RB","Rico Dowdle","00-0036139","DAL",106,23,0.783018867924528,91.5,93.84,16,"2023",5.71875,5.865,0.216981132075472,"Other",1.4375,6.625
"RB","D'Onta Foreman","00-0033925","CHI",120,21,0.825,91.2,90.46,9,"2023",10.1333333333333,10.0511111111111,0.175,"Other",2.33333333333333,13.3333333333333
"RB","Miles Sanders","00-0035243","CAR",156,34,0.782051282051282,87.6,125.18,16,"2023",5.475,7.82375,0.217948717948718,"Other",2.125,9.75
"RB","Jerick McKinnon","00-0031376","KC",46,26,0.434782608695652,84.36,66.51,12,"2023",7.03,5.5425,0.565217391304348,"Other",2.16666666666667,3.83333333333333
"RB","Latavius Murray","00-0030513","BUF",96,34,0.645833333333333,82.9,101.06,15,"2023",5.52666666666667,6.73733333333333,0.354166666666667,"Other",2.26666666666667,6.4
"RB","Dameon Pierce","00-0037258","HOU",158,27,0.829113924050633,76.7,114.9,13,"2023",5.9,8.83846153846154,0.170886075949367,"Other",2.07692307692308,12.1538461538462
"RB","Zamir White","00-0038040","LV",119,22,0.815126050420168,73.9,86.62,13,"2023",5.68461538461538,6.66307692307692,0.184873949579832,"Other",1.69230769230769,9.15384615384615
"RB","Emari Demercado","00-0038705","ARI",79,22,0.721518987341772,73.3,74.33,11,"2023",6.66363636363636,6.75727272727273,0.278481012658228,"Other",2,7.18181818181818
"RB","Clyde Edwards-Helaire","00-0036360","KC",87,22,0.747126436781609,70.1,80.49,15,"2023",4.67333333333333,5.366,0.252873563218391,"Other",1.46666666666667,5.8
"RB","Keaton Mitchell","00-0038454","BAL",56,9,0.839285714285714,69.9,41.64,7,"2023",9.98571428571429,5.94857142857143,0.160714285714286,"Other",1.28571428571429,8
"RB","Joshua Kelley","00-0036370","LAC",115,15,0.869565217391304,61.7,78.87,17,"2023",3.62941176470588,4.63941176470588,0.130434782608696,"Other",0.882352941176471,6.76470588235294
